year,state,month,number,day
2017,Amapa,8,33,1
1998,Amapa,9,20,1
1999,Amapa,9,4,1
2000,Amapa,9,19,1
2001,Amapa,9,95,1
2002,Amapa,9,73,1
2003,Amapa,9,88,1
2004,Amapa,9,67,1
2005,Amapa,9,97,1
2006,Amapa,9,112,1
2007,Amapa,9,61,1
2008,Amapa,9,83,1
2009,Amapa,9,188,1
2010,Amapa,9,63,1
2011,Amapa,9,128,1
2012,Amapa,9,168,1
2013,Amapa,9,85,1
2014,Amapa,9,137,1
2015,Amapa,9,192,1
2016,Amapa,9,142,1
2017,Amapa,9,95,1
1998,Amapa,10,42,1
1999,Amapa,10,25,1
2000,Amapa,10,42,1
2001,Amapa,10,194,1
2002,Amapa,10,557,1
2003,Amapa,10,355,1
2004,Amapa,10,412,1
2005,Amapa,10,335,1
2006,Amapa,10,405,1
2007,Amapa,10,162,1
2008,Amapa,10,395,1
2009,Amapa,10,765,1
2010,Amapa,10,265,1
2011,Amapa,10,304,1
2012,Amapa,10,475,1
2013,Amapa,10,385,1
2014,Amapa,10,480,1
2015,Amapa,10,827,1
2016,Amapa,10,793,1
2017,Amapa,10,468,1
1998,Amapa,11,131,1
1999,Amapa,11,26,1
2000,Amapa,11,157,1
2001,Amapa,11,406,1
2002,Amapa,11,1095,1
2003,Amapa,11,750,1
2004,Amapa,11,949,1
2005,Amapa,11,685,1
2006,Amapa,11,207,1
2007,Amapa,11,198,1
2008,Amapa,11,266,1
2009,Amapa,11,1019,1
2010,Amapa,11,339,1
2011,Amapa,11,282,1
2012,Amapa,11,969,1
2013,Amapa,11,341,1
2014,Amapa,11,484,1
2015,Amapa,11,1300,1
2016,Amapa,11,1161,1
2017,Amapa,11,858,1
1998,Amapa,12,84,1
1999,Amapa,12,41,1
2000,Amapa,12,30,1
2001,Amapa,12,593,1
2002,Amapa,12,200,1
2003,Amapa,12,411,1
2004,Amapa,12,777,1
2005,Amapa,12,38,1
2006,Amapa,12,74,1
2007,Amapa,12,14,1
2008,Amapa,12,32,1
2009,Amapa,12,123,1
2010,Amapa,12,43,1
2011,Amapa,12,360,1
2012,Amapa,12,422,1
2013,Amapa,12,148,1
2014,Amapa,12,354,1
2015,Amapa,12,269,1
2016,Amapa,12,491,1
1998,Amazonas,1,0,1
1999,Amazonas,1,3,1
2000,Amazonas,1,7,1
2001,Amazonas,1,3,1
2002,Amazonas,1,17,1
2003,Amazonas,1,158,1
2004,Amazonas,1,123,1
2005,Amazonas,1,44,1
2006,Amazonas,1,20,1
2007,Amazonas,1,37,1
2008,Amazonas,1,16,1
2009,Amazonas,1,9,1
2010,Amazonas,1,82,1
2011,Amazonas,1,53,1
2012,Amazonas,1,6,1
2013,Amazonas,1,37,1
2014,Amazonas,1,46,1
2015,Amazonas,1,35,1
2016,Amazonas,1,770,1
2017,Amazonas,1,65,1
1998,Amazonas,2,0,1
1999,Amazonas,2,43,1
2000,Amazonas,2,62,1
2001,Amazonas,2,8,1
2002,Amazonas,2,2,1
2003,Amazonas,2,62,1
2004,Amazonas,2,92,1
2005,Amazonas,2,6,1
2006,Amazonas,2,10,1
2007,Amazonas,2,92,1
2008,Amazonas,2,32,1
2009,Amazonas,2,3,1
2010,Amazonas,2,81,1
2011,Amazonas,2,30,1
2012,Amazonas,2,25,1
2013,Amazonas,2,16,1
2014,Amazonas,2,49,1
2015,Amazonas,2,107,1
2016,Amazonas,2,275,1
2017,Amazonas,2,52,1
1998,Amazonas,3,0,1
1999,Amazonas,3,7,1
2000,Amazonas,3,69,1
2001,Amazonas,3,6,1
2002,Amazonas,3,5,1
2003,Amazonas,3,64,1
2004,Amazonas,3,6,1
2005,Amazonas,3,12,1
2006,Amazonas,3,20,1
2007,Amazonas,3,6,1
2008,Amazonas,3,10,1
2009,Amazonas,3,11,1
2010,Amazonas,3,116,1
2011,Amazonas,3,49,1
2012,Amazonas,3,17,1
2013,Amazonas,3,49,1
2014,Amazonas,3,50,1
2015,Amazonas,3,46,1
2016,Amazonas,3,140,1
2017,Amazonas,3,45,1
1998,Amazonas,4,0,1
1999,Amazonas,4,2,1
2000,Amazonas,4,18,1
2001,Amazonas,4,1,1
2002,Amazonas,4,2,1
2003,Amazonas,4,11,1
2004,Amazonas,4,4,1
2005,Amazonas,4,5,1
2006,Amazonas,4,5,1
2007,Amazonas,4,0,1
2008,Amazonas,4,13,1
2009,Amazonas,4,1,1
2010,Amazonas,4,11,1
2011,Amazonas,4,5,1
2012,Amazonas,4,3,1
2013,Amazonas,4,20,1
2014,Amazonas,4,25,1
2015,Amazonas,4,24,1
2016,Amazonas,4,22,1
2017,Amazonas,4,20,1
1998,Amazonas,5,0,1
1999,Amazonas,5,0,1
2000,Amazonas,5,51,1
2001,Amazonas,5,0,1
2002,Amazonas,5,8,1
2003,Amazonas,5,2,1
2004,Amazonas,5,0,1
2005,Amazonas,5,8,1
2006,Amazonas,5,4,1
2007,Amazonas,5,0,1
2008,Amazonas,5,1,1
2009,Amazonas,5,3,1
2010,Amazonas,5,13,1
2011,Amazonas,5,6,1
2012,Amazonas,5,12,1
2013,Amazonas,5,19,1
2014,Amazonas,5,12,1
2015,Amazonas,5,10,1
2016,Amazonas,5,30,1
2017,Amazonas,5,40,1
1998,Amazonas,6,2,1
1999,Amazonas,6,7,1
2000,Amazonas,6,6,1
2001,Amazonas,6,5,1
2002,Amazonas,6,5,1
2003,Amazonas,6,3,1
2004,Amazonas,6,12,1
2005,Amazonas,6,78,1
2006,Amazonas,6,9,1
2007,Amazonas,6,23,1
2008,Amazonas,6,7,1
2009,Amazonas,6,13,1
2010,Amazonas,6,9,1
2011,Amazonas,6,22,1
2012,Amazonas,6,45,1
2013,Amazonas,6,56,1
2014,Amazonas,6,74,1
2015,Amazonas,6,33,1
2016,Amazonas,6,90,1
2017,Amazonas,6,119,1
1998,Amazonas,7,71,1
1999,Amazonas,7,11,1
2000,Amazonas,7,39,1
2001,Amazonas,7,9,1
2002,Amazonas,7,146,1
2003,Amazonas,7,180,1
2004,Amazonas,7,177,1
2005,Amazonas,7,676,1
2006,Amazonas,7,123,1
2007,Amazonas,7,116,1
2008,Amazonas,7,108,1
2009,Amazonas,7,199,1
2010,Amazonas,7,640,1
2011,Amazonas,7,271,1
2012,Amazonas,7,234,1
2013,Amazonas,7,248,1
2014,Amazonas,7,202,1
2015,Amazonas,7,356,1
2016,Amazonas,7,1137,1
2017,Amazonas,7,1975,1
1998,Amazonas,8,321,1
1999,Amazonas,8,259,1
2000,Amazonas,8,180,1
2001,Amazonas,8,501,1
2002,Amazonas,8,741,1
2003,Amazonas,8,1867,1
2004,Amazonas,8,1207,1
2005,Amazonas,8,2316,1
2006,Amazonas,8,1422,1
2007,Amazonas,8,2241,1
2008,Amazonas,8,861,1
2009,Amazonas,8,1321,1
2010,Amazonas,8,3727,1
2011,Amazonas,8,1242,1
2012,Amazonas,8,3011,1
2013,Amazonas,8,1276,1
2014,Amazonas,8,3852,1
2015,Amazonas,8,4564,1
2016,Amazonas,8,3611,1
2017,Amazonas,8,6316,1
1998,Amazonas,9,267,1
1999,Amazonas,9,216,1
2000,Amazonas,9,189,1
2001,Amazonas,9,166,1
2002,Amazonas,9,928,1
2003,Amazonas,9,1401,1
2004,Amazonas,9,911,1
2005,Amazonas,9,2812,1
2006,Amazonas,9,2218,1
2007,Amazonas,9,1360,1
2008,Amazonas,9,998,1
2009,Amazonas,9,3091,1
2010,Amazonas,9,2781,1
2011,Amazonas,9,1295,1
